Nama Kolom,Tipe Fitur Asli,Metode Preprocessing,Alasan Preprocessing
BusinessTravel_Travel_Rarely,Kategorikal (BusinessTravel),One-Hot Encoding (OHE),Mengubah teks ke biner (0/1) agar model membaca kategori independen tanpa hierarki nilai.
Department_Research & Development,Kategorikal (Department),One-Hot Encoding (OHE),Mengubah teks ke biner (0/1) agar model membaca kategori independen tanpa hierarki nilai.
Department_Sales,Kategorikal (Department),One-Hot Encoding (OHE),Mengubah teks ke biner (0/1) agar model membaca kategori independen tanpa hierarki nilai.
EducationField_Life Sciences,Kategorikal (EducationField),One-Hot Encoding (OHE),Mengubah teks ke biner (0/1) agar model membaca kategori independen tanpa hierarki nilai.
EducationField_Marketing,Kategorikal (EducationField),One-Hot Encoding (OHE),Mengubah teks ke biner (0/1) agar model membaca kategori independen tanpa hierarki nilai.
EducationField_Medical,Kategorikal (EducationField),One-Hot Encoding (OHE),Mengubah teks ke biner (0/1) agar model membaca kategori independen tanpa hierarki nilai.
EducationField_Other,Kategorikal (EducationField),One-Hot Encoding (OHE),Mengubah teks ke biner (0/1) agar model membaca kategori independen tanpa hierarki nilai.
EducationField_Technical Degree,Kategorikal (EducationField),One-Hot Encoding (OHE),Mengubah teks ke biner (0/1) agar model membaca kategori independen tanpa hierarki nilai.
Gender_Male,Kategorikal (Gender),One-Hot Encoding (OHE),Mengubah teks ke biner (0/1) agar model membaca kategori independen tanpa hierarki nilai.
JobRole_Human Resources,Kategorikal (JobRole),One-Hot Encoding (OHE),Mengubah teks ke biner (0/1) agar model membaca kategori independen tanpa hierarki nilai.
JobRole_Laboratory Technician,Kategorikal (JobRole),One-Hot Encoding (OHE),Mengubah teks ke biner (0/1) agar model membaca kategori independen tanpa hierarki nilai.
JobRole_Manager,Kategorikal (JobRole),One-Hot Encoding (OHE),Mengubah teks ke biner (0/1) agar model membaca kategori independen tanpa hierarki nilai.
JobRole_Manufacturing Director,Kategorikal (JobRole),One-Hot Encoding (OHE),Mengubah teks ke biner (0/1) agar model membaca kategori independen tanpa hierarki nilai.
JobRole_Research Director,Kategorikal (JobRole),One-Hot Encoding (OHE),Mengubah teks ke biner (0/1) agar model membaca kategori independen tanpa hierarki nilai.
JobRole_Research Scientist,Kategorikal (JobRole),One-Hot Encoding (OHE),Mengubah teks ke biner (0/1) agar model membaca kategori independen tanpa hierarki nilai.
JobRole_Sales Executive,Kategorikal (JobRole),One-Hot Encoding (OHE),Mengubah teks ke biner (0/1) agar model membaca kategori independen tanpa hierarki nilai.
JobRole_Sales Representative,Kategorikal (JobRole),One-Hot Encoding (OHE),Mengubah teks ke biner (0/1) agar model membaca kategori independen tanpa hierarki nilai.
MaritalStatus_Married,Kategorikal (MaritalStatus),One-Hot Encoding (OHE),Mengubah teks ke biner (0/1) agar model membaca kategori independen tanpa hierarki nilai.
MaritalStatus_Single,Kategorikal (MaritalStatus),One-Hot Encoding (OHE),Mengubah teks ke biner (0/1) agar model membaca kategori independen tanpa hierarki nilai.
OverTime_Yes,Kategorikal (OverTime),One-Hot Encoding (OHE),Mengubah teks ke biner (0/1) agar model membaca kategori independen tanpa hierarki nilai.
